Date,Rise,Set,DayLength,,
21/06/11,04:57,21:57,17:00,,
22/06/11,04:57,21:57,17:00,,
23/06/11,04:57,21:57,17:00,,
24/06/11,04:57,21:57,17:00,,
25/06/11,04:58,21:57,16:59,,
26/06/11,04:58,21:57,16:59,,
27/06/11,04:59,21:57,16:58,,
28/06/11,04:59,21:57,16:58,,
29/06/11,05:00,21:57,16:57,,
30/06/11,05:01,21:57,16:56,,
01/07/11,05:01,21:56,16:55,,
02/07/11,05:02,21:56,16:54,,
03/07/11,05:03,21:55,16:53,,
04/07/11,05:04,21:55,16:51,,
05/07/11,05:04,21:54,16:50,,
06/07/11,05:05,21:54,16:48,,
07/07/11,05:06,21:53,16:47,,
08/07/11,05:07,21:52,16:45,,
09/07/11,05:08,21:52,16:43,,
10/07/11,05:09,21:51,16:41,,
11/07/11,05:11,21:50,16:39,,
12/07/11,05:12,21:49,16:37,,
13/07/11,05:13,21:48,16:35,,
14/07/11,05:14,21:47,16:33,,
15/07/11,05:15,21:46,16:30,,
16/07/11,05:17,21:45,16:28,,
17/07/11,05:18,21:44,16:25,,
18/07/11,05:19,21:42,16:23,,
19/07/11,05:21,21:41,16:20,,
20/07/11,05:22,21:40,16:18,,
21/07/11,05:24,21:38,16:15,,
22/07/11,05:25,21:37,16:12,,
23/07/11,05:27,21:36,16:09,,
24/07/11,05:28,21:34,16:06,,
25/07/11,05:30,21:33,16:03,,
26/07/11,05:31,21:31,16:00,,
27/07/11,05:33,21:30,15:57,,
28/07/11,05:34,21:28,15:54,,
29/07/11,05:36,21:26,15:50,,
30/07/11,05:37,21:25,15:47,,
31/07/11,05:39,21:23,15:44,,
01/08/11,05:41,21:21,15:40,,
02/08/11,05:42,21:19,15:37,,
03/08/11,05:44,21:18,15:34,,
04/08/11,05:46,21:16,15:30,,
05/08/11,05:47,21:14,15:27,,
06/08/11,05:49,21:12,15:23,,
07/08/11,05:51,21:10,15:19,,
08/08/11,05:52,21:08,15:16,,
09/08/11,05:54,21:06,15:12,,
10/08/11,05:56,21:04,15:08,,
11/08/11,05:57,21:02,15:05,,
12/08/11,05:59,21:00,15:01,,
13/08/11,06:01,20:58,14:57,,
14/08/11,06:03,20:56,14:53,,
15/08/11,06:04,20:54,14:49,,
16/08/11,06:06,20:52,14:46,,
17/08/11,06:08,20:49,14:42,,
18/08/11,06:09,20:47,14:38,,
19/08/11,06:11,20:45,14:34,,
20/08/11,06:13,20:43,14:30,,
21/08/11,06:15,20:41,14:26,,
22/08/11,06:16,20:38,14:22,,
23/08/11,06:18,20:36,14:18,,
24/08/11,06:20,20:34,14:14,,
25/08/11,06:22,20:32,14:10,,
26/08/11,06:23,20:29,14:06,,
27/08/11,06:25,20:27,14:02,,
28/08/11,06:27,20:25,13:58,,
29/08/11,06:29,20:22,13:54,,
30/08/11,06:30,20:20,13:50,,
31/08/11,06:32,20:18,13:46,,
01/09/11,06:34,20:15,13:42,,
02/09/11,06:35,20:13,13:38,,
03/09/11,06:37,20:11,13:33,,
04/09/11,06:39,20:08,13:29,,
05/09/11,06:41,20:06,13:25,,
06/09/11,06:42,20:04,13:21,,
07/09/11,06:44,20:01,13:17,,
08/09/11,06:46,19:59,13:13,,
09/09/11,06:48,19:56,13:09,,
10/09/11,06:49,19:54,13:05,,
11/09/11,06:51,19:51,13:00,,
12/09/11,06:53,19:49,12:56,,
13/09/11,06:54,19:47,12:52,,
14/09/11,06:56,19:44,12:48,,
15/09/11,06:58,19:42,12:44,,
16/09/11,07:00,19:39,12:40,,
17/09/11,07:01,19:37,12:35,,
18/09/11,07:03,19:34,12:31,,
19/09/11,07:05,19:32,12:27,,
20/09/11,07:07,19:30,12:23,,
21/09/11,07:08,19:27,12:19,,
22/09/11,07:10,19:25,12:15,,
23/09/11,07:12,19:22,12:10,,
24/09/11,07:14,19:20,12:06,,
25/09/11,07:15,19:17,12:02,,
26/09/11,07:17,19:15,11:58,,
27/09/11,07:19,19:12,11:54,,
28/09/11,07:21,19:10,11:49,,
29/09/11,07:22,19:08,11:45,,
30/09/11,07:24,19:05,11:41,,
01/10/11,07:26,19:03,11:37,,
02/10/11,07:28,19:00,11:33,,
03/10/11,07:29,18:58,11:29,,
04/10/11,07:31,18:56,11:24,,
05/10/11,07:33,18:53,11:20,,
06/10/11,07:35,18:51,11:16,,
07/10/11,07:37,18:48,11:12,,
08/10/11,07:38,18:46,11:08,,
09/10/11,07:40,18:44,11:04,,
10/10/11,07:42,18:41,10:59,,
11/10/11,07:44,18:39,10:55,,
12/10/11,07:46,18:37,10:51,,
13/10/11,07:47,18:34,10:47,,
14/10/11,07:49,18:32,10:43,,
15/10/11,07:51,18:30,10:39,,
16/10/11,07:53,18:28,10:35,,
17/10/11,07:55,18:25,10:31,,
18/10/11,07:57,18:23,10:26,,
19/10/11,07:58,18:21,10:22,,
20/10/11,08:00,18:19,10:18,,
21/10/11,08:02,18:16,10:14,,
22/10/11,08:04,18:14,10:10,,
23/10/11,08:06,18:12,10:06,,
24/10/11,08:08,18:10,10:02,,
25/10/11,08:10,18:08,09:58,,
26/10/11,08:12,18:06,09:54,,
27/10/11,08:13,18:04,09:50,,
28/10/11,08:15,18:02,09:46,,
29/10/11,08:17,18:00,09:42,,
30/10/11,07:19,16:58,09:38,,
31/10/11,07:21,16:56,09:34,,
01/11/11,07:23,16:54,09:31,,
02/11/11,07:25,16:52,09:27,,
03/11/11,07:27,16:50,09:23,,
04/11/11,07:29,16:48,09:19,,
05/11/11,07:31,16:46,09:15,,
06/11/11,07:32,16:44,09:12,,
07/11/11,07:34,16:42,09:08,,
08/11/11,07:36,16:41,09:04,,
09/11/11,07:38,16:39,09:01,,
10/11/11,07:40,16:37,08:57,,
11/11/11,07:42,16:36,08:54,,
12/11/11,07:44,16:34,08:50,,
13/11/11,07:46,16:32,08:47,,
14/11/11,07:48,16:31,08:43,,
15/11/11,07:49,16:29,08:40,,
16/11/11,07:51,16:28,08:37,,
17/11/11,07:53,16:26,08:33,,
18/11/11,07:55,16:25,08:30,,
19/11/11,07:57,16:24,08:27,,
20/11/11,07:58,16:22,08:24,,
21/11/11,08:00,16:21,08:21,,
22/11/11,08:02,16:20,08:18,,
23/11/11,08:04,16:19,08:15,,
24/11/11,08:05,16:17,08:12,,
25/11/11,08:07,16:16,08:09,,
26/11/11,08:09,16:15,08:07,,
27/11/11,08:10,16:14,08:04,,
28/11/11,08:12,16:13,08:01,,
29/11/11,08:14,16:13,07:59,,
30/11/11,08:15,16:12,07:57,,
01/12/11,08:17,16:11,07:54,,
02/12/11,08:18,16:10,07:52,,
03/12/11,08:20,16:10,07:50,,
04/12/11,08:21,16:09,07:48,,
05/12/11,08:22,16:08,07:46,,
06/12/11,08:24,16:08,07:44,,
07/12/11,08:25,16:07,07:42,,
08/12/11,08:26,16:07,07:41,,
09/12/11,08:27,16:07,07:39,,
10/12/11,08:29,16:07,07:38,,
11/12/11,08:30,16:06,07:37,,
12/12/11,08:31,16:06,07:35,,
13/12/11,08:32,16:06,07:34,,
14/12/11,08:33,16:06,07:33,,
15/12/11,08:34,16:06,07:33,,
16/12/11,08:35,16:06,07:32,,
17/12/11,08:35,16:07,07:31,,
18/12/11,08:36,16:07,07:31,,
19/12/11,08:37,16:07,07:30,,
20/12/11,08:37,16:08,07:30,,
21/12/11,08:38,16:08,07:30,,
22/12/11,08:39,16:08,07:30,,
23/12/11,08:39,16:09,07:30,,
24/12/11,08:39,16:10,07:30,,
25/12/11,08:40,16:10,07:31,,
26/12/11,08:40,16:11,07:31,,
27/12/11,08:40,16:12,07:32,,
28/12/11,08:40,16:13,07:32,,
29/12/11,08:40,16:14,07:33,,
30/12/11,08:41,16:15,07:34,,
31/12/11,08:40,16:16,07:35,,
01/01/12,08:40,16:17,07:36,,
02/01/12,08:40,16:18,07:37,,
03/01/12,08:40,16:19,07:39,,
04/01/12,08:40,16:20,07:40,,
05/01/12,08:39,16:21,07:42,,
06/01/12,08:39,16:23,07:44,,
07/01/12,08:39,16:24,07:45,,
08/01/12,08:38,16:25,07:47,,
09/01/12,08:38,16:27,07:49,,
10/01/12,08:37,16:28,07:51,,
11/01/12,08:36,16:30,07:53,,
12/01/12,08:35,16:31,07:56,,
13/01/12,08:35,16:33,07:58,,
14/01/12,08:34,16:34,08:01,,
15/01/12,08:33,16:36,08:03,,
16/01/12,08:32,16:38,08:06,,
17/01/12,08:31,16:39,08:08,,
18/01/12,08:30,16:41,08:11,,
19/01/12,08:29,16:43,08:14,,
20/01/12,08:28,16:45,08:17,,
21/01/12,08:27,16:46,08:20,,
22/01/12,08:25,16:48,08:23,,
23/01/12,08:24,16:50,08:26,,
24/01/12,08:23,16:52,08:29,,
25/01/12,08:21,16:54,08:32,,
26/01/12,08:20,16:56,08:36,,
27/01/12,08:19,16:58,08:39,,
28/01/12,08:17,16:59,08:42,,
29/01/12,08:15,17:01,08:46,,
30/01/12,08:14,17:03,08:49,,
31/01/12,08:12,17:05,08:53,,
01/02/12,08:11,17:07,08:56,,
02/02/12,08:09,17:09,09:00,,
03/02/12,08:07,17:11,09:04,,
04/02/12,08:06,17:13,09:07,,
05/02/12,08:04,17:15,09:11,,
06/02/12,08:02,17:17,09:15,,
07/02/12,08:00,17:19,09:19,,
08/02/12,07:58,17:21,09:22,,
09/02/12,07:56,17:23,09:26,,
10/02/12,07:55,17:25,09:30,,
11/02/12,07:53,17:27,09:34,,
12/02/12,07:51,17:29,09:38,,
13/02/12,07:49,17:31,09:42,,
14/02/12,07:47,17:33,09:46,,
15/02/12,07:45,17:35,09:50,,
16/02/12,07:43,17:37,09:54,,
17/02/12,07:40,17:39,09:58,,
18/02/12,07:38,17:41,10:02,,
19/02/12,07:36,17:42,10:06,,
20/02/12,07:34,17:44,10:10,,
21/02/12,07:32,17:46,10:14,,
22/02/12,07:30,17:48,10:19,,
23/02/12,07:28,17:50,10:23,,
24/02/12,07:25,17:52,10:27,,
25/02/12,07:23,17:54,10:31,,
26/02/12,07:21,17:56,10:35,,
27/02/12,07:19,17:58,10:39,,
28/02/12,07:16,18:00,10:43,,
29/02/12,07:14,18:02,10:48,,
01/03/12,07:12,18:04,10:52,,
02/03/12,07:10,18:06,10:56,,
03/03/12,07:07,18:07,11:00,,
04/03/12,07:05,18:09,11:04,,
05/03/12,07:03,18:11,11:09,,
06/03/12,07:00,18:13,11:13,,
07/03/12,06:58,18:15,11:17,,
08/03/12,06:56,18:17,11:21,,
09/03/12,06:53,18:19,11:26,,
10/03/12,06:51,18:21,11:30,,
11/03/12,06:48,18:22,11:34,,
12/03/12,06:46,18:24,11:38,,
13/03/12,06:44,18:26,11:43,,
14/03/12,06:41,18:28,11:47,,
15/03/12,06:39,18:30,11:51,,
16/03/12,06:36,18:32,11:55,,
17/03/12,06:34,18:34,12:00,,
18/03/12,06:32,18:35,12:04,,
19/03/12,06:29,18:37,12:08,,
20/03/12,06:27,18:39,12:12,,
21/03/12,06:24,18:41,12:17,,
22/03/12,06:22,18:43,12:21,,
23/03/12,06:20,18:45,12:25,,
24/03/12,06:17,18:46,12:29,,
25/03/12,07:15,19:48,12:33,,
26/03/12,07:12,19:50,12:38,,
27/03/12,07:10,19:52,12:42,,
28/03/12,07:07,19:54,12:46,,
29/03/12,07:05,19:55,12:50,,
30/03/12,07:03,19:57,12:55,,
31/03/12,07:00,19:59,12:59,,
01/04/12,06:58,20:01,13:03,,
02/04/12,06:55,20:03,13:07,,
03/04/12,06:53,20:05,13:11,,
04/04/12,06:51,20:06,13:16,,
05/04/12,06:48,20:08,13:20,,
06/04/12,06:46,20:10,13:24,,
07/04/12,06:44,20:12,13:28,,
08/04/12,06:41,20:14,13:32,,
09/04/12,06:39,20:15,13:37,,
10/04/12,06:36,20:17,13:41,,
11/04/12,06:34,20:19,13:45,,
12/04/12,06:32,20:21,13:49,,
13/04/12,06:29,20:23,13:53,,
14/04/12,06:27,20:24,13:57,,
15/04/12,06:25,20:26,14:01,,
16/04/12,06:23,20:28,14:05,,
17/04/12,06:20,20:30,14:10,,
18/04/12,06:18,20:32,14:14,,
19/04/12,06:16,20:34,14:18,,
20/04/12,06:14,20:35,14:22,,
21/04/12,06:11,20:37,14:26,,
22/04/12,06:09,20:39,14:30,,
23/04/12,06:07,20:41,14:34,,
24/04/12,06:05,20:43,14:38,,
25/04/12,06:03,20:44,14:42,,
26/04/12,06:01,20:46,14:46,,
27/04/12,05:59,20:48,14:49,,
28/04/12,05:56,20:50,14:53,,
29/04/12,05:54,20:52,14:57,,
30/04/12,05:52,20:53,15:01,,
01/05/12,05:50,20:55,15:05,,
02/05/12,05:48,20:57,15:09,,
03/05/12,05:46,20:59,15:12,,
04/05/12,05:44,21:00,15:16,,
05/05/12,05:42,21:02,15:20,,
06/05/12,05:41,21:04,15:23,,
07/05/12,05:39,21:06,15:27,,
08/05/12,05:37,21:07,15:31,,
09/05/12,05:35,21:09,15:34,,
10/05/12,05:33,21:11,15:38,,
11/05/12,05:31,21:12,15:41,,
12/05/12,05:30,21:14,15:44,,
13/05/12,05:28,21:16,15:48,,
14/05/12,05:26,21:17,15:51,,
15/05/12,05:25,21:19,15:54,,
16/05/12,05:23,21:21,15:57,,
17/05/12,05:22,21:22,16:01,,
18/05/12,05:20,21:24,16:04,,
19/05/12,05:19,21:25,16:07,,
20/05/12,05:17,21:27,16:10,,
21/05/12,05:16,21:28,16:13,,
22/05/12,05:14,21:30,16:15,,
23/05/12,05:13,21:31,16:18,,
24/05/12,05:12,21:33,16:21,,
25/05/12,05:11,21:34,16:24,,
26/05/12,05:09,21:36,16:26,,
27/05/12,05:08,21:37,16:29,,
28/05/12,05:07,21:38,16:31,,
29/05/12,05:06,21:40,16:33,,
30/05/12,05:05,21:41,16:36,,
31/05/12,05:04,21:42,16:38,,
01/06/12,05:03,21:43,16:40,,
02/06/12,05:03,21:44,16:42,,
03/06/12,05:02,21:45,16:44,,
04/06/12,05:01,21:47,16:46,,
05/06/12,05:00,21:48,16:47,,
06/06/12,05:00,21:49,16:49,,
07/06/12,04:59,21:49,16:50,,
08/06/12,04:59,21:50,16:52,,
09/06/12,04:58,21:51,16:53,,
10/06/12,04:58,21:52,16:54,,
11/06/12,04:57,21:53,16:55,,
12/06/12,04:57,21:53,16:56,,
13/06/12,04:57,21:54,16:57,,
14/06/12,04:57,21:55,16:58,,
15/06/12,04:56,21:55,16:59,,
16/06/12,04:56,21:56,16:59,,
17/06/12,04:56,21:56,17:00,,
18/06/12,04:56,21:56,17:00,,
19/06/12,04:56,21:57,17:00,,
20/06/12,04:57,21:57,17:00,,
21/06/12,04:57,21:57,17:00,,
22/06/12,04:57,21:57,17:00,,
23/06/12,04:57,21:57,17:00,,
24/06/12,04:58,21:57,17:00,,
25/06/12,04:58,21:57,16:59,,
26/06/12,04:59,21:57,16:59,,
27/06/12,04:59,21:57,16:58,,
28/06/12,05:00,21:57,16:57,,
29/06/12,05:00,21:57,16:56,,
30/06/12,05:01,21:56,16:55,,
