Date,Rise,Set,DayLength
19/09/11,07:16,19:43,12:27
20/09/11,07:18,19:41,12:23
21/09/11,07:19,19:38,12:19
22/09/11,07:21,19:36,12:15
23/09/11,07:23,19:33,12:10
24/09/11,07:25,19:31,12:06
25/09/11,07:26,19:28,12:02
26/09/11,07:28,19:26,11:58
27/09/11,07:30,19:24,11:54
28/09/11,07:32,19:21,11:49
29/09/11,07:33,19:19,11:45
30/09/11,07:35,19:16,11:41
01/10/11,07:37,19:14,11:37
02/10/11,07:39,19:12,11:33
03/10/11,07:41,19:09,11:29
04/10/11,07:42,19:07,11:24
05/10/11,07:44,19:04,11:20
06/10/11,07:46,19:02,11:16
07/10/11,07:48,19:00,11:12
08/10/11,07:49,18:57,11:08
09/10/11,07:51,18:55,11:04
10/10/11,07:53,18:53,11:00
11/10/11,07:55,18:50,10:55
12/10/11,07:57,18:48,10:51
13/10/11,07:58,18:46,10:47
14/10/11,08:00,18:43,10:43
15/10/11,08:02,18:41,10:39
16/10/11,08:04,18:39,10:35
17/10/11,08:06,18:37,10:31
18/10/11,08:08,18:34,10:27
19/10/11,08:09,18:32,10:23
20/10/11,08:11,18:30,10:19
21/10/11,08:13,18:28,10:15
22/10/11,08:15,18:26,10:10
23/10/11,08:17,18:23,10:06
24/10/11,08:19,18:21,10:02
25/10/11,08:21,18:19,09:58
26/10/11,08:23,18:17,09:54
27/10/11,08:24,18:15,09:51
28/10/11,08:26,18:13,09:47
29/10/11,08:28,18:11,09:43
30/10/11,07:30,17:09,09:39
31/10/11,07:32,17:07,09:35
01/11/11,07:34,17:05,09:31
02/11/11,07:36,17:03,09:27
03/11/11,07:38,17:01,09:23
04/11/11,07:40,16:59,09:20
05/11/11,07:42,16:57,09:16
06/11/11,07:43,16:56,09:12
07/11/11,07:45,16:54,09:08
08/11/11,07:47,16:52,09:05
09/11/11,07:49,16:50,09:01
10/11/11,07:51,16:49,08:58
11/11/11,07:53,16:47,08:54
12/11/11,07:55,16:45,08:51
13/11/11,07:57,16:44,08:47
14/11/11,07:58,16:42,08:44
15/11/11,08:00,16:41,08:40
16/11/11,08:02,16:39,08:37
17/11/11,08:04,16:38,08:34
18/11/11,08:06,16:36,08:31
19/11/11,08:08,16:35,08:27
20/11/11,08:09,16:34,08:24
21/11/11,08:11,16:32,08:21
22/11/11,08:13,16:31,08:18
23/11/11,08:15,16:30,08:15
24/11/11,08:16,16:29,08:13
25/11/11,08:18,16:28,08:10
26/11/11,08:20,16:27,08:07
27/11/11,08:21,16:26,08:05
28/11/11,08:23,16:25,08:02
29/11/11,08:24,16:24,08:00
30/11/11,08:26,16:23,07:57
01/12/11,08:27,16:22,07:55
02/12/11,08:29,16:22,07:53
03/12/11,08:30,16:21,07:51
04/12/11,08:32,16:20,07:49
05/12/11,08:33,16:20,07:47
06/12/11,08:34,16:19,07:45
07/12/11,08:36,16:19,07:43
08/12/11,08:37,16:19,07:42
09/12/11,08:38,16:18,07:40
10/12/11,08:39,16:18,07:39
11/12/11,08:40,16:18,07:37
12/12/11,08:42,16:18,07:36
13/12/11,08:43,16:18,07:35
14/12/11,08:44,16:18,07:34
15/12/11,08:44,16:18,07:33
16/12/11,08:45,16:18,07:33
17/12/11,08:46,16:18,07:32
18/12/11,08:47,16:18,07:31
19/12/11,08:48,16:19,07:31
20/12/11,08:48,16:19,07:31
21/12/11,08:49,16:19,07:31
22/12/11,08:49,16:20,07:31
23/12/11,08:50,16:21,07:31
24/12/11,08:50,16:21,07:31
25/12/11,08:50,16:22,07:31
26/12/11,08:51,16:23,07:32
27/12/11,08:51,16:23,07:32
28/12/11,08:51,16:24,07:33
29/12/11,08:51,16:25,07:34
30/12/11,08:51,16:26,07:35
31/12/11,08:51,16:27,07:36
01/01/12,08:51,16:28,07:37
02/01/12,08:51,16:29,07:38
03/01/12,08:51,16:30,07:40
04/01/12,08:51,16:32,07:41
05/01/12,08:50,16:33,07:43
06/01/12,08:50,16:34,07:44
07/01/12,08:49,16:35,07:46
08/01/12,08:49,16:37,07:48
09/01/12,08:48,16:38,07:50
10/01/12,08:48,16:40,07:52
11/01/12,08:47,16:41,07:54
12/01/12,08:46,16:43,07:56
13/01/12,08:45,16:44,07:59
14/01/12,08:45,16:46,08:01
15/01/12,08:44,16:48,08:04
16/01/12,08:43,16:49,08:06
17/01/12,08:42,16:51,08:09
18/01/12,08:41,16:53,08:12
19/01/12,08:40,16:54,08:15
20/01/12,08:39,16:56,08:18
21/01/12,08:37,16:58,08:20
22/01/12,08:36,17:00,08:24
23/01/12,08:35,17:01,08:27
24/01/12,08:34,17:03,08:30
25/01/12,08:32,17:05,08:33
26/01/12,08:31,17:07,08:36
27/01/12,08:29,17:09,08:40
28/01/12,08:28,17:11,08:43
29/01/12,08:26,17:13,08:46
30/01/12,08:25,17:15,08:50
31/01/12,08:23,17:17,08:53
01/02/12,08:22,17:19,08:57
02/02/12,08:20,17:20,09:01
03/02/12,08:18,17:22,09:04
04/02/12,08:16,17:24,09:08
05/02/12,08:15,17:26,09:12
06/02/12,08:13,17:28,09:15
07/02/12,08:11,17:30,09:19
08/02/12,08:09,17:32,09:23
09/02/12,08:07,17:34,09:27
10/02/12,08:05,17:36,09:31
11/02/12,08:04,17:38,09:35
12/02/12,08:02,17:40,09:38
13/02/12,08:00,17:42,09:42
14/02/12,07:58,17:44,09:46
15/02/12,07:56,17:46,09:50
16/02/12,07:53,17:48,09:54
17/02/12,07:51,17:50,09:58
18/02/12,07:49,17:52,10:02
19/02/12,07:47,17:54,10:07
20/02/12,07:45,17:56,10:11
21/02/12,07:43,17:58,10:15
22/02/12,07:41,18:00,10:19
23/02/12,07:39,18:02,10:23
24/02/12,07:36,18:03,10:27
25/02/12,07:34,18:05,10:31
26/02/12,07:32,18:07,10:35
27/02/12,07:30,18:09,10:40
28/02/12,07:27,18:11,10:44
29/02/12,07:25,18:13,10:48
01/03/12,07:23,18:15,10:52
02/03/12,07:21,18:17,10:56
03/03/12,07:18,18:19,11:00
04/03/12,07:16,18:21,11:05
05/03/12,07:14,18:22,11:09
06/03/12,07:11,18:24,11:13
07/03/12,07:09,18:26,11:17
08/03/12,07:07,18:28,11:21
09/03/12,07:04,18:30,11:26
10/03/12,07:02,18:32,11:30
11/03/12,07:00,18:34,11:34
12/03/12,06:57,18:36,11:38
13/03/12,06:55,18:37,11:43
14/03/12,06:52,18:39,11:47
15/03/12,06:50,18:41,11:51
16/03/12,06:48,18:43,11:55
17/03/12,06:45,18:45,12:00
18/03/12,06:43,18:47,12:04
19/03/12,06:40,18:48,12:08
20/03/12,06:38,18:50,12:12
21/03/12,06:36,18:52,12:17
22/03/12,06:33,18:54,12:21
23/03/12,06:31,18:56,12:25
24/03/12,06:28,18:58,12:29
25/03/12,07:26,19:59,12:33
26/03/12,07:23,20:01,12:38
27/03/12,07:21,20:03,12:42
28/03/12,07:19,20:05,12:46
29/03/12,07:16,20:07,12:50
30/03/12,07:14,20:08,12:55
31/03/12,07:11,20:10,12:59
01/04/12,07:09,20:12,13:03
02/04/12,07:07,20:14,13:07
03/04/12,07:04,20:16,13:11
04/04/12,07:02,20:17,13:16
05/04/12,06:59,20:19,13:20
06/04/12,06:57,20:21,13:24
07/04/12,06:55,20:23,13:28
08/04/12,06:52,20:25,13:32
09/04/12,06:50,20:26,13:36
10/04/12,06:48,20:28,13:41
11/04/12,06:45,20:30,13:45
12/04/12,06:43,20:32,13:49
13/04/12,06:41,20:34,13:53
14/04/12,06:38,20:35,13:57
15/04/12,06:36,20:37,14:01
16/04/12,06:34,20:39,14:05
17/04/12,06:32,20:41,14:09
18/04/12,06:29,20:43,14:13
19/04/12,06:27,20:45,14:17
20/04/12,06:25,20:46,14:21
21/04/12,06:23,20:48,14:25
22/04/12,06:21,20:50,14:29
23/04/12,06:18,20:52,14:33
24/04/12,06:16,20:54,14:37
25/04/12,06:14,20:55,14:41
26/04/12,06:12,20:57,14:45
27/04/12,06:10,20:59,14:49
28/04/12,06:08,21:01,14:53
29/04/12,06:06,21:02,14:57
30/04/12,06:04,21:04,15:01
01/05/12,06:02,21:06,15:04
02/05/12,06:00,21:08,15:08
03/05/12,05:58,21:10,15:12
04/05/12,05:56,21:11,15:16
05/05/12,05:54,21:13,15:19
06/05/12,05:52,21:15,15:23
07/05/12,05:50,21:17,15:26
08/05/12,05:48,21:18,15:30
09/05/12,05:46,21:20,15:33
10/05/12,05:45,21:22,15:37
11/05/12,05:43,21:23,15:40
12/05/12,05:41,21:25,15:44
13/05/12,05:39,21:27,15:47
14/05/12,05:38,21:28,15:50
15/05/12,05:36,21:30,15:54
16/05/12,05:35,21:32,15:57
17/05/12,05:33,21:33,16:00
18/05/12,05:32,21:35,16:03
19/05/12,05:30,21:36,16:06
20/05/12,05:29,21:38,16:09
21/05/12,05:27,21:39,16:12
22/05/12,05:26,21:41,16:15
23/05/12,05:25,21:42,16:18
24/05/12,05:23,21:44,16:20
25/05/12,05:22,21:45,16:23
26/05/12,05:21,21:46,16:25
27/05/12,05:20,21:48,16:28
28/05/12,05:19,21:49,16:30
29/05/12,05:18,21:50,16:33
30/05/12,05:17,21:52,16:35
31/05/12,05:16,21:53,16:37
01/06/12,05:15,21:54,16:39
02/06/12,05:14,21:55,16:41
03/06/12,05:13,21:56,16:43
04/06/12,05:13,21:57,16:45
05/06/12,05:12,21:58,16:46
06/06/12,05:11,21:59,16:48
07/06/12,05:11,22:00,16:49
08/06/12,05:10,22:01,16:51
09/06/12,05:10,22:02,16:52
10/06/12,05:09,22:03,16:53
11/06/12,05:09,22:03,16:54
12/06/12,05:09,22:04,16:55
13/06/12,05:08,22:05,16:56
14/06/12,05:08,22:05,16:57
15/06/12,05:08,22:06,16:58
16/06/12,05:08,22:06,16:58
17/06/12,05:08,22:07,16:59
18/06/12,05:08,22:07,16:59
19/06/12,05:08,22:07,16:59
20/06/12,05:08,22:08,16:59
21/06/12,05:08,22:08,16:59
22/06/12,05:09,22:08,16:59
23/06/12,05:09,22:08,16:59
24/06/12,05:09,22:08,16:59
25/06/12,05:10,22:08,16:58
26/06/12,05:10,22:08,16:58
27/06/12,05:11,22:08,16:57
28/06/12,05:11,22:08,16:56
29/06/12,05:12,22:07,16:55
30/06/12,05:13,22:07,16:54
